"key","value"
"flow","119"
"previewSize","10"
"aWorkingCopy","21"
"toStringPretty:","11"
"cacheDirectory","12"
"trimBoth","136"
"positionFromCamera","13"
"ba","33"
"removeFromParent","50"
"TRMouseDragging","70"
"preWidget","13"
"ix","22"
"ClassVariable","10"
"allServices","16"
"updateCommand","23"
"snapshotWithElements:","18"
"newScrolledText","60"
"entryReferences","23"
"BlScalableElement","23"
"named:priority:on:","17"
"suggestedName","29"
"isFocusable","13"
"credentialsList","15"
":path","16"
"GtCachedAttribute","15"
"allStoredSettings","14"
"ColorForm","19"
"TRBezierShape","14"
"attachCategory:","18"
"vFit","14"
"isLoaded","21"
"GtPhlowViewWithError","11"
"totalInstSpace","10"
"mockInstanceA","10"
":child","101"
"searchedTextList","18"
"aCommitModel","13"
"classBinding:","30"
"parentNode","71"
"hasBindingOf:","13"
"repository:","521"
"GtSystemS1SubclassC2","27"
"sign","127"
"addTest:","35"
"TextSharedInformation","25"
"calls","13"
"BlKeyDownEvent","28"
"resetPossible","18"
"stackList","14"
"buildProcess","15"
"openOn:","119"
"wantsEvent:","11"
"pt","189"
"projectName","211"
"asDuration","63"
"ans","26"
"rowInset","11"
"ClyAllClassesQuery","18"
"actualSeries","12"
"parameter","52"
"takeKeyboardFocus","87"
"aVersionInfo","113"
"anOccupiedArea","14"
"allowUnderscoreAssignment","12"
"aMimeType","42"
"RTAbstractViewContext","10"
"releaseBuilder","15"
"gridForm","10"
"textElement","126"
"rootItems","13"
"operations","52"
"abc","12"
"isException","19"
"qualitative","11"
"asZnCharacterEncoder","13"
"add:after:","17"
"lastRefresh","18"
":member","10"
"axis:","26"
"byte2","64"
"anchor2","41"
"receive","19"
"elementsFromModels:","32"
"isTarget","22"
"smoothCurve","18"
"mockPackage","19"
"isPoint","66"
"link2","87"
"MooseEntity","154"
"ifTrue:","15667"
"scrollToShow:","10"
"bitsSize","12"
"tabCount","20"
"Smalltalk","1871"
"spec:","23"
"vector","199"
"selectionChanged","42"
":newPoint","15"
"anX","24"
"GtPhlowObjectToSelect","10"
"spotterModel:","27"
"run","363"
"msb","83"
"removeAll:","49"
"inspectIt","10"
"buf","108"
"GRNumberPrinter","28"
"setAsFixed","18"
"rightFrame","18"
"keywordsIntervals","10"
"previewShowSelector","10"
"allSubclasses","216"
"aMethodAnnouncement","19"
"aRealClass","10"
"IceLibgitTonelWriter","17"
"parentName","30"
"executeOnElements:","15"
"addSymbolicSection:version:","11"
"report","74"
"pairsOfNodes","613"
"aBottom","34"
"materializationEnvironment","10"
"aBlTask","14"
"elementIconOpen","10"
"toolbarHeight","23"
"description:","463"
"selectedPage","20"
":anAnnouncement","27"
"t3","117"
"packageList","96"
"aScrapHeap","13"
"externalLayer","18"
"fillRectangle:fillStyle:","30"
"renderValue:on:","16"
"newTab","39"
"UITheme","36"
"checkNotEmpty","17"
"ZnServer","43"
"cellPositioning:","45"
"integerSeconds","10"
"syntaxError","14"
"keywords","136"
"utf8String","15"
"asInteger","510"
"level2Node1","35"
"isLowercase","15"
"dimensions","21"
"characterBlockForIndex:","32"
"sourceLanguage","34"
"position","3474"
"RTTreeLayout","83"
":eachChild","12"
"aNamespace","24"
"segmentLength","19"
":dummy","17"
"aValueNode","14"
"aToIndex","40"
"select:","1537"
